Industry,Symbol,Series,ISIN Code
Metals & Mining,ADANIENT,EQ,INE423A01024
Services,ADANIPORTS,EQ,INE742F01042
Healthcare,APOLLOHOSP,EQ,INE437A01024
Consumer Durables,ASIANPAINT,EQ,INE021A01026
Financial Services,AXISBANK,EQ,INE238A01034
Automobile and Auto Components,BAJAJ-AUTO,EQ,INE917I01010
Financial Services,BAJFINANCE,EQ,INE296A01024
Financial Services,BAJAJFINSV,EQ,INE918I01026
Oil Gas & Consumable Fuels,BPCL,EQ,INE029A01011
Telecommunication,BHARTIARTL,EQ,INE397D01024
Fast Moving Consumer Goods,BRITANNIA,EQ,INE216A01030
Healthcare,CIPLA,EQ,INE059A01026
Oil Gas & Consumable Fuels,COALINDIA,EQ,INE522F01014
Healthcare,DIVISLAB,EQ,INE361B01024
Healthcare,DRREDDY,EQ,INE089A01023
Automobile and Auto Components,EICHERMOT,EQ,INE066A01021
Construction Materials,GRASIM,EQ,INE047A01021
Information Technology,HCLTECH,EQ,INE860A01027
Financial Services,HDFCBANK,EQ,INE040A01034
Financial Services,HDFCLIFE,EQ,INE795G01014
Automobile and Auto Components,HEROMOTOCO,EQ,INE158A01026
Metals & Mining,HINDALCO,EQ,INE038A01020
Fast Moving Consumer Goods,HINDUNILVR,EQ,INE030A01027
Financial Services,HDFC,EQ,INE001A01036
Financial Services,ICICIBANK,EQ,INE090A01021
Fast Moving Consumer Goods,ITC,EQ,INE154A01025
Financial Services,INDUSINDBK,EQ,INE095A01012
Information Technology,INFY,EQ,INE009A01021
Metals & Mining,JSWSTEEL,EQ,INE019A01038
Financial Services,KOTAKBANK,EQ,INE237A01028
Construction,LT,EQ,INE018A01030
Automobile and Auto Components,M&M,EQ,INE101A01026
Automobile and Auto Components,MARUTI,EQ,INE585B01010
Power,NTPC,EQ,INE733E01010
Fast Moving Consumer Goods,NESTLEIND,EQ,INE239A01016
Oil Gas & Consumable Fuels,ONGC,EQ,INE213A01029
Power,POWERGRID,EQ,INE752E01010
Oil Gas & Consumable Fuels,RELIANCE,EQ,INE002A01018
Financial Services,SBILIFE,EQ,INE123W01016
Financial Services,SBIN,EQ,INE062A01020
Healthcare,SUNPHARMA,EQ,INE044A01036
Information Technology,TCS,EQ,INE467B01029
Fast Moving Consumer Goods,TATACONSUM,EQ,INE192A01025
Automobile and Auto Components,TATAMOTORS,EQ,INE155A01022
Metals & Mining,TATASTEEL,EQ,INE081A01020
Information Technology,TECHM,EQ,INE669C01036
Consumer Durables,TITAN,EQ,INE280A01028
Chemicals,UPL,EQ,INE628A01036
Construction Materials,ULTRACEMCO,EQ,INE481G01011
Information Technology,WIPRO,EQ,INE075A01022
